EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-2-8,50,40,30,32,28,23,80,67,47,29.94,29.84,29.76,10,10,10,10,2,16,0.00,0,,15
2015-2-9,41,36,32,37,34,30,100,91,75,29.98,29.89,29.81,10,6,2,9,6,,0.18,8,Rain,39
2015-2-10,37,34,32,32,31,28,100,90,75,30.09,30.03,29.98,10,10,5,17,10,24,0.00,6,,14
2015-2-11,44,35,26,28,27,25,93,73,53,30.11,30.02,29.90,10,10,10,9,6,,0.00,2,,2
2015-2-12,41,30,17,32,23,3,93,70,43,30.13,29.91,29.81,10,10,3,28,9,38,0.00,6,Snow,304
2015-2-13,28,20,12,10,4,1,73,51,34,30.33,30.23,30.12,10,10,10,25,13,31,0.00,0,,313
2015-2-14,42,28,14,32,14,-4,93,62,39,30.11,29.79,29.45,10,10,0,31,7,47,0.00,6,Snow,236
2015-2-15,19,14,8,0,-4,-6,57,46,36,30.34,30.15,29.88,10,10,10,36,23,54,0.00,2,,320
2015-2-16,17,12,8,14,1,-8,100,64,38,30.39,30.26,30.01,10,7,1,17,9,28,0.00,4,Snow,330
2015-2-17,28,20,12,18,14,10,100,81,59,29.99,29.93,29.89,10,9,1,15,3,17,0.02,3,Snow,7
2015-2-18,33,18,3,28,10,0,100,68,42,29.98,29.87,29.70,10,9,1,26,6,43,0.00,2,Snow,249
2015-2-19,17,12,8,5,-1,-9,79,52,38,30.23,30.07,29.95,10,10,2,26,15,37,0.00,3,Snow,300
2015-2-20,21,13,5,-2,-6,-9,56,46,33,30.47,30.39,30.23,10,10,10,20,10,29,0.00,0,,296
2015-2-21,32,22,12,32,15,-4,100,80,48,30.46,30.30,30.14,10,5,0,18,8,24,0.00,6,Snow,186
2015-2-22,46,39,32,37,34,32,100,87,62,30.28,30.18,30.10,10,7,2,8,1,,0.45,4,,8
2015-2-23,37,26,14,32,13,-6,87,56,36,30.42,30.35,30.25,10,10,10,23,11,31,0.00,4,,351
2015-2-24,30,15,0,12,3,-6,85,53,34,30.41,30.14,29.83,10,10,10,14,4,21,0.00,0,Thunderstorm,192
2015-2-25,41,26,12,27,18,9,86,67,42,29.99,29.90,29.80,10,10,10,9,3,,0.03,1,,227
2015-2-26,33,32,30,30,28,23,100,84,69,30.15,29.97,29.88,10,8,1,13,3,17,0.08,7,Snow,7
2015-2-27,32,26,21,27,15,5,86,58,43,30.67,30.42,30.16,10,10,10,21,6,22,0.00,3,,347
2015-2-28,30,22,14,12,5,1,74,48,31,30.87,30.77,30.68,10,10,10,13,3,,0.00,1,,2
2015-3-1,32,24,17,32,25,10,100,88,64,30.72,30.48,30.18,10,7,1,12,3,,0.05,8,Snow,182
